id,hidden,name,alternateName,code,sku,price,priceType,defaultTaxRates,unitName,cost,isRevenue,stockCount,modifiedTime,priceWithoutVat
EBJCSF2T7EYX4,false,E.Guigal Burne et Blonde De Guigal Cote Rotie 750mL,,,3536650101004,8999,FIXED,true,,5100,true,0,1544324417000,
FFR32553J5JVG,false,Le Volte dell' Ornellaia 750mL,,,818201020235,3699,FIXED,true,,2020,true,0,1544323462000,
4N4DN771S9X18,false,The Macallan Gold Double Cask 750mL,,,812066022755,5999,FIXED,true,,4050,true,0,1544128608000,
JAFXKQ4A9DGR8,false,Famiglia Castellani Chianti Classico Riserva 750mL,,,015643555039,1699,FIXED,true,,925,true,0,1544071375000,
EY6HWR31PZZRJ,false,Solaia Toscana by Piero Antinori 2013 750mL,,,015643541421,38999,FIXED,true,,21700,true,0,1544071122000,0
YNRXGVF4EV7NG,false,Solaia Super Tuscan 2006,,,,0,FIXED,true,,0,true,,1544070788000,
0VVP8XC82D8E2,false,Familia Dante Chianti Classico Riserva 750mL,,,015643251290,1299,FIXED,true,,717,true,0,1544070627000,0
WQZD6ZMAFJJGT,false,Clos de L'Oratoire Saint Emilion 750mL,,,015643509384,7499,FIXED,true,,4342,true,0,1544070082000,
D7WWQJ1P5A4FC,false,Lays Kettle Cooked Jalapeno,,,028400437837,189,FIXED,false,,132,true,0,1544066310000,
6GF0KXJM10FJJ,false,Château Beychevelle Grand Vin Saint Julien 2016 750mL,,,015643551765,21999,FIXED,true,,12259,true,0,1544062412000,0
DX4P3PQDJY37A,false,Château Malescot st Exupery Margaux 750mL,,015643567971,3435160012759,8999,FIXED,true,,5259,true,0,1544062002000,
VE2X9FWCGWF3C,false,Château Brillette Moulls en Medoc 750mL,,,015643539411,3999,FIXED,true,,2134,true,0,1544061840000,0
NXF9EJ5F5KHR6,false,Château Cantemerle Haut Medoc 750mL,,,015643507700,5999,FIXED,true,,3384,true,0,1544061670000,0
R9KBJ561DBRDP,false,Château Haut-Bailly Grand Cru Classe 2015 Pessac Leognan 750mL,,,015643507625,27999,FIXED,true,,15425,true,0,1544061487000,0
HSCGKXGN1647W,false,Château La Lagune Grand Cru Classe Haut Medoc 750mL,,,3448821605948,8999,FIXED,true,,5010,true,0,1543983364000,0
2XDX5WSJD0NQA,false,Domaine de Chevalier Pessac Leognan 2015 750mL,,,3760115292383,13999,FIXED,true,,7850,true,0,1543983097000,
CX1MB6FEG91S8,false,Domaine de Chevalier Pessac Leognan 2009 750mL,,,3760115296916,18999,FIXED,true,,10685,true,0,1543982979000,
Z1J6QCB58HNHE,false,Château Phelan Segur Saint Estephe 2010 750mL,,,015643506949,7999,FIXED,true,,4642,true,0,1543982652000,
YP1NP9WV3RXPG,false,Château Guiraud Sauternes 375mL,,,,5999,FIXED,true,,3567,true,0,1543982375000,
B19XMJ0H6T6VT,false,Johnnie Walker Blue Label Gift  Set 750mL,,,088076182905,22999,FIXED,true,,15000,true,0,1543978780000,
HGWHH3Y55PY16,false,Early Times Kentucky Whiskey 200mL,,,081128010683,499,FIXED,true,,1,true,0,1543976917000,0
XQ9RJSWA2YXN0,false,Château Rauzan - Segla Margaux 2012 750mL,,,156434268414,16999,FIXED,true,,9010,true,0,1543894503000,
ZVFVZK6RARCFE,false,Château Gruaud Larose Saint Julien 750mL,,,015643506536,12999,FIXED,true,,7350,true,0,1543894312000,0
HBQDE9HW00FKM,false,Château Mouton Rothschild 2015 Pauillac 750mL,,,878448003019,89999,FIXED,true,,53226,true,0,1543893986000,
KR78KK0EFYRH6,false,Ducru - Beaucaillou Saint - Julien 2015 750mL,,,015643506178,32999,FIXED,true,,18517,true,0,1543893856000,0
QC0QV29KQAJEW,false,Château Haut-Brion Premier Grand Cru Classe 2015 Pessac Leognan 750mL,,,015643505911,114999,FIXED,true,,69600,true,0,1543893544000,0
SWH721DD96TMP,false,Château Haut-Brion Premier Grand Cru Classe 2012 Pessac Leognan 750mL,,,015643600159,79999,FIXED,true,,49200,true,0,1543893315000,0
ES4G915X4NVA0,false,Château Lagrange Saint Julien 750mL,,,015643505898,7999,FIXED,true,,4593,true,0,1543893072000,0
JVJBYTM5SN7HP,false,Cuvee Viva Château Gigault Cotes De Bordeaux 750mL,,,015643510380,2399,FIXED,true,,1283,true,0,1565746487000,0
0YTQAX4EJ0WAJ,false,Les Fiefs de Lagrange Saint Julien 750mL,,,3760172712107,6999,FIXED,true,,3883,true,0,1543892488000,0
DKK7H8A4VMN1Y,false,Château Lespault - Martillac Pessac Leognan 750mL,,,015643510298,4999,FIXED,true,,2634,true,0,1543891919000,0
G4T6DG3W0TNVE,false,Clos Marsalette Pessac Leognan 750mL,,,3448821607157,4699,FIXED,true,,2585,true,0,1543891617000,
7PQMXF2G0ZXQR,false,Château Marquis D'Alesme Margaux 750mL,,,015643501616,7999,FIXED,true,,4600,true,0,1543891460000,
PEE5QKDGV2ACE,false,Château Peyrabon Haut Medoc 750mL,,,015643501555,2499,FIXED,true,,1425,true,0,1543891355000,0
09QPCD9GDKH1M,false,Château Siran Margaux 750mL,,,015643501517,5499,FIXED,true,,3000,true,0,1543891031000,
RVSCQ6G6C7VX4,false,Manzone Le Ciliegie Dolcetto d'Alba 750mL,,,,2699,FIXED,true,,1267,true,0,1543811173000,
RNM1Z9JSGRV02,false,Matias Charles Heintz Vineyard Pinot Noir 750mL,,,,6499,FIXED,true,,2800,true,0,1543811024000,
78DPABX0DJFG8,false,Domaine de la Rochette Pinot Noir 750mL,,,875630002133,1799,FIXED,true,,750,true,0,1554236983000,0
FX993XRDC9MMW,false,Camina Tempranilllo 750mL,,,8420134000141,1199,FIXED,true,,667,true,0,1543809334000,
3YJGK12PX96ZA,false,Grey Goose Regular Vodka 1L,,,080480280017,3499,FIXED,true,,2385,true,0,1543638368000,
K9BPH0KVB6WA2,false,Blanc de Bleu Cuvee Mousseux Brut 750mL,,,081054996143,1799,FIXED,true,,1067,true,0,1543544288000,
AS82ZAQ240FA4,false,Suntory Roku Gin 750mL,,,080686958031,3299,FIXED,true,,2085,true,0,1562444170000,
R9GGGMHAMDZM2,false,Cono Sur Cabernet Sauvignon 1.5L,,,089419434095,1899,FIXED,true,,1068,true,0,1543536047000,
KTPFYN9HDPFWR,false,Wigle Pennsylvania Bourbon 750mL,,,857673003216,4999,FIXED,true,,3000,true,0,1573695161000,
GZPZ9H4C63E40,false,Wigle Walkabout Apple Whiskey 750mL,,,857673003391,7499,FIXED,true,,4900,true,0,1543534363000,0
QKQGJJK42FJB2,false,Casamigos Reposado Tequila 1.75L,,,856724006244,10999,FIXED,true,,7778,true,0,1543362427000,
